user_id,recommended_businesses
MM8TN4qZph2ZWSp-dlfQQw,"Lounge, Renown Medical Group - Summit Sierra, West Street Wine Bar"
tvJlBtUmdghPoCy9lxCEaQ,"Window Coverings of Idaho, Kabul Market, Treasure Valley Closets"
zw2cWpbqRkj0RBBY0Kr8gQ,"Record Exchange, Chapala Mexican Restaurant, Raw Sushi"
Ld0kmJuStVsIlMfLGa1DfA,"Companion Early Bird Outlet, J. Viviano & Sons, Ivy Hill Boutique, Tower Pub, Randall’s Wine & Spirits"
NcsKrEGIvak7dvlrH7hcKw,"Nemours Estate, Delaware Art Museum, Riverfront Wilmington, DuPont Environmental Education Center, Burgers by Wildwich"
pY1p9pGjIakUamEbq10idw,
OHu7_KAKJiVzQLVFt4fn0g,"Coffeebar, Total Wine & More, Hub Coffee Roasters, Natural Grocers, Whole Foods Market"
8A1QIvzlXoVqNBFiFviUoA,"Reanimator Coffee, HNT Chicken, Uptown Seafood"
vv4ilDFFFL7StlFY9lUTqA,"3 in 1 Restaurant, Yelp's Totally Bazaar: Freakshakes at TeeJay's Sweet Tooth, The Best Chocolate in Town, Gordon’s Milkshake Bar, Living Room Theatres Indy"
EwmFtt11zR0ooHdWkVJbbQ,
lZA5gZKctH4-mH1kea_mxw,
7jX-jViCMLPpBxD9oPZ0Iw,
FF-ElasWwMedH_ETWGBM0g,"Perfect Cut Hair Salon, Teassert Bar, Yummy Yummy"
bo8ttA8sh9rYzbcH6a6MEw,"Charred Pie, Arizona Motor Vehicle Express, Whiskey Roads"
E2ciYiJyGgahkgu5t6S6_w,"Speggtacular, Acropol Family Restaurant, Finley's Irish Pub & Eatery"
zyIu_C73F_CTsfuEK-bA0A,
aQ72e2tcqxwvfAjFgPwaKQ,"Bubbles Salon, Circa Fishhawk Apartments, The Valley Forge Beef and Ale"
LHuoAqnqvqTTSOCcMF_rzg,"Prytania Hall Coffee, New Orleans Jazz Market, Avis Rent A Car"
0G7mjV0GTUmBgtdb15OgEw,
NDKxOLX6UbzvDS8JUR1cDA,
OeV0uoqamuH8ypHASLk-1Q,"Shear Madness! Barber Shop, Subway, Ferguson Plumbing Supply, Albertsons, Kohl's"
sHog8Vqj6nDXU1tAAOuf0A,
U9fGXJ_FqE9BPlz1Fzoi2w,"Park Plates, David's Asian Bistro, Frank's Pizza"
HHv3TIF0IugaO8eh4gw6RA,
pAht3x-9NTUgQym8QDGTPw,
53IT02NBYDNesxF-kkpDJQ,"Black Star Hardware, Aprons Restaurant, Academic Properties"
5wrSvsPIAkn6FlNurP6tLg,"Magpie Vintage & Estate Jewelry, Jezebel's, Stein Mart"
jU6c08V4lRFevTS7L6WKLQ,
l5oaNCRTQwFEs6E1CO2iUQ,"Juggernaut Arms, Sportsman's Warehouse, Starbucks"
J1M0cWE6VAwProGKWoBElA,"Planet Fitness, Violas Pizzaria, Carool's Liquor Store, ACME Markets, Dunkin'"
MA7DouyLSxF_XvNN6MC2_A,"5th & Taylor, Lockeland Table, The Farm House"
XMbNVkmz62L5IaMXmMOZtw,"Sweet Handkraft, Deutsches Haus, Maple Street Book Shop, PJ's Coffee, Shake Shack"
YhKibyIuidP0NJj9y73Cgw,
ajIvxaS4dbDz6PR2eyxv7A,"Halo Farm, Ohana Cafe, LongHorn Steakhouse, Twistee Treat - Tarpon Springs, Rat's Restaurant"
tPHGN3R_CwdhJpF4cbm8sg,"Wilson Dent Artist, Love Food Central, The Ale & The Witch, Eagle Oral Surgery, Rollin' Oats Market"
pRndtV9sWaEWSA4xjFcLTw,"Bacchus Wine Bistro, IL Ritorno, One Stoppe Shoppe, Belleair Causeway, Lawn Detectives"
WC9n_pfIVYHERvTrNSeq1Q,"Lola Boutique, Lupo Motors, Pacific Crêpes, 805 Boba, Outfitter Satellite, Inc"
vu3q46y2Cgqc_Th5ijlhsg,"Sue's Produce Market, The Original Turkey, Philadelphia Animal Welfare Society, Meltkraft At Reading Terminal Market, Beck's Cajun Cafe"
azAGvgNFb7qT7rqYXw1j9A,
6TBwscqLTodqvwGbo3R7xg,"Toby's Original Little Italy Pizza, CD Roma Restaurant, Ka'tiki Sunset Beach"
QvxwFq5iEXHsArgMbh6h4w,"Shoreline Park, Rockin' Kids Santa Barbara, Goleta Valley Cottage Hospital"
68VAVDa_r3tWIecKChfHWg,"Petit Roti, Village Whiskey, Parliament, Day By Day, Devil's Alley Bar & Grille"
dPLE25gFU4xAfs_-nsJL5w,"Terakawa Ramen, M Kee, Tea Do, Penang"
yGn-bJOy3FOfHmj8ejiLFg,
uJJPgEeO_eOSMqCICpawGw,"Fat Catz, Bourbon Cowboy, The Swamp On Bourbon Street"
z3409SCYcPJsY27Gf4XDhg,"47 Scott, HUB Restaurant & Ice Creamery, The Abbey Eat + Drink, Edible Arrangements, Arizona Pool Restorations"
1E1i3oSpZNLddy22RVWDEw,"Interstate Drafthouse, Parc, South Philadelphia Tap Room, Loco Pez, Cantina Los Caballitos"
Rf7PbrDv3bKqq6nwDgonZg,"Trader Joe's, Valvoline Instant Oil Change, Walmart Supercenter"
FyKh1eSNldRWp2HojfjVfw,"Fiorella's the Original, Pho Bistreaux, Mr Poor Boy Restaurant, Desi Vega's Prime Burgers and Shakes, Pedros Tacos & Tequila Bar"
bTbtHSSuVxTYKnMsUgQ3uA,
mYpLe5iqh5VIJa1RonMtBg,"National Cleaning Specialist, Super Natural Food and Wine, 500 Harbour Island"
pxK3kVgMvevb3uVN4SqQkQ,
guqRnOGZgLhJ6oaSSpvL5A,"Jeni's Splendid Ice Creams, Commander's Palace, Mission Street Ice Cream and Yogurt - Featuring McConnell's Fine, The Silly Goose, Lafitte's Blacksmith Shop Bar"
lzXD75QpCCgBBa7cizN23g,"The Eagle, Livery - Indianapolis, Bru Burger Bar - Indianapolis, Noah Grant's, Bel Viso Lash Studio"
qkkmnJeOHbTnsRvmC83vvw,"Hershel's East Side Deli, John's Roast Pork, BAP, The Cambridge, Pat's King of Steaks"
S8tFHJB8HO0-IB-Dp87jSw,"Caney Fork River Valley Grille, Santa Fe Cattle Company, The Inn at Opryland, A Gaylord Hotel"
39dLYk8rggwoRNNc6PPWTA,"La Vie Nail Spa, Anthony's Boise, Smoky Mountain Pizzeria Grill"
O0oAHu1piys6LSDsSIBheA,"Kilwins St. Charles, Kebab N Kurry, MOD Pizza, Crazy Bowls & Wraps, Mission Taco Joint - Streets of St. Charles"
zA-1J3-pmdg75Jlo-5kQ6Q,"Weaver's Lawn & Garden Shop, 502 East Event Centre, Goodwill Store, Little Super, Firestone Complete Auto Care"
kT59M3douipfDQzpjh72vQ,
wMVuy8V-XVjvwwZURrg9dQ,"Moe Joe's Breakfast Eatery, Yard House, Kona Grill"
u8y3hJm2flFf5ZF8ph1JNg,
EmMd5xxqdHXbSVKyPGmGlQ,"Baggataway Tavern, Speed Wash Laundry"
2nrE7SoO8ADw9OpiJbzMaA,
n66ELsCz8bKoTkfhMIlecQ,
